z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,independent_spontaneous_fy,unc_isf,Extraction_date
23,66,V,96,244,Cm,0,,,,,,,1.37782e-17,8.81805e-18,2026-02-19
23,67,V,96,244,Cm,0,,,,,,,6.56914e-19,4.20425e-19,2026-02-19
24,66,Cr,96,244,Cm,0,,,,,,,7.33989e-13,4.69753e-13,2026-02-19
24,67,Cr,96,244,Cm,0,,,,,,,2.58994e-14,1.65756e-14,2026-02-19
24,68,Cr,96,244,Cm,0,,,,,,,0,0,2026-02-19
24,69,Cr,96,244,Cm,0,,,,,,,2.47981e-17,1.58708e-17,2026-02-19
24,70,Cr,96,244,Cm,0,,,,,,,0,0,2026-02-19
25,66,Mn,96,244,Cm,0,,,,,,,6.74002e-10,4.31361e-10,2026-02-19
25,67,Mn,96,244,Cm,0,,,,,,,9.96003e-11,6.37442e-11,2026-02-19
25,68,Mn,96,244,Cm,0,,,,,,,7.17002e-12,4.58881e-12,2026-02-19
25,69,Mn,96,244,Cm,0,,,,,,,4.52977e-13,2.89905e-13,2026-02-19
25,70,Mn,96,244,Cm,0,,,,,,,1.60001e-14,1.024e-14,2026-02-19
25,71,Mn,96,244,Cm,0,,,,,,,0,0,2026-02-19
25,72,Mn,96,244,Cm,0,,,,,,,1.32338e-17,8.46965e-18,2026-02-19
26,66,Fe,96,244,Cm,0,,,,,,,7.53002e-08,4.81922e-08,2026-02-19
26,67,Fe,96,244,Cm,0,,,,,,,2.90001e-08,1.85601e-08,2026-02-19
26,68,Fe,96,244,Cm,0,,,,,,,8.22003e-09,5.26082e-09,2026-02-19
26,69,Fe,96,244,Cm,0,,,,,,,1.38e-09,8.83203e-10,2026-02-19
26,70,Fe,96,244,Cm,0,,,,,,,2.00001e-10,1.28e-10,2026-02-19
26,71,Fe,96,244,Cm,0,,,,,,,1.32e-11,8.44803e-12,2026-02-19
26,72,Fe,96,244,Cm,0,,,,,,,7.04989e-13,4.51193e-13,2026-02-19
26,73,Fe,96,244,Cm,0,,,,,,,1.78001e-14,1.1392e-14,2026-02-19
26,74,Fe,96,244,Cm,0,,,,,,,0,0,2026-02-19
26,76,Fe,96,244,Cm,0,,,,,,,0,0,2026-02-19
27,66,Co,96,244,Cm,0,,,,,,,2.07001e-07,1.3248e-07,2026-02-19
27,67,Co,96,244,Cm,0,,,,,,,2.77001e-07,1.77281e-07,2026-02-19
27,68,Co,96,244,Cm,0,,,,,,,1.85001e-07,1.184e-07,2026-02-19
27,69,Co,96,244,Cm,0,,,,,,,1.16e-07,7.42402e-08,2026-02-19
27,70,Co,96,244,Cm,0,,,,,,,4.28001e-08,2.73921e-08,2026-02-19
27,71,Co,96,244,Cm,0,,,,,,,1.16e-08,7.42402e-09,2026-02-19
27,72,Co,96,244,Cm,0,,,,,,,1.66001e-09,1.0624e-09,2026-02-19
27,73,Co,96,244,Cm,0,,,,,,,1.72001e-10,1.1008e-10,2026-02-19
27,74,Co,96,244,Cm,0,,,,,,,8.90003e-12,5.69602e-12,2026-02-19
27,75,Co,96,244,Cm,0,,,,,,,4.22001e-13,2.70081e-13,2026-02-19
27,76,Co,96,244,Cm,0,,,,,,,0,0,2026-02-19
27,77,Co,96,244,Cm,0,,,,,,,2.56171e-16,1.63949e-16,2026-02-19
28,66,Ni,96,244,Cm,0,,,,,,,1.14e-07,7.29602e-08,2026-02-19
28,67,Ni,96,244,Cm,0,,,,,,,3.34001e-07,2.13761e-07,2026-02-19
28,68,Ni,96,244,Cm,0,,,,,,,7.16002e-07,4.58241e-07,2026-02-19
28,69,Ni,96,244,Cm,0,,,,,,,9.78003e-07,6.25922e-07,2026-02-19
28,70,Ni,96,244,Cm,0,,,,,,,1.25e-06,8.00003e-07,2026-02-19
28,71,Ni,96,244,Cm,0,,,,,,,8.35003e-07,5.34402e-07,2026-02-19
28,72,Ni,96,244,Cm,0,,,,,,,4.53001e-07,2.89921e-07,2026-02-19
28,73,Ni,96,244,Cm,0,,,,,,,1.21e-07,7.74402e-08,2026-02-19
28,74,Ni,96,244,Cm,0,,,,,,,2.51001e-08,1.60641e-08,2026-02-19
28,75,Ni,96,244,Cm,0,,,,,,,3.32001e-09,2.12481e-09,2026-02-19
28,76,Ni,96,244,Cm,0,,,,,,,3.17001e-10,2.02881e-10,2026-02-19
28,77,Ni,96,244,Cm,0,,,,,,,1.00998e-11,6.46386e-12,2026-02-19
28,78,Ni,96,244,Cm,0,,,,,,,3.68001e-13,2.35521e-13,2026-02-19
28,79,Ni,96,244,Cm,0,,,,,,,9.14189e-15,5.85081e-15,2026-02-19
28,80,Ni,96,244,Cm,0,,,,,,,0,0,2026-02-19
28,82,Ni,96,244,Cm,0,,,,,,,0,0,2026-02-19
29,66,Cu,96,244,Cm,0,,,,,,,1.63001e-09,1.0432e-09,2026-02-19
29,67,Cu,96,244,Cm,0,,,,,,,1.76001e-08,1.1264e-08,2026-02-19
29,68,Cu,96,244,Cm,0,,,,,,,2.56001e-08,1.63841e-08,2026-02-19
29,68,Cu,96,244,Cm,1,,,,,,,5.97002e-08,3.82081e-08,2026-02-19
29,69,Cu,96,244,Cm,0,,,,,,,3.81001e-07,2.43841e-07,2026-02-19
29,70,Cu,96,244,Cm,0,,,,,,,2.58001e-07,1.65121e-07,2026-02-19
29,70,Cu,96,244,Cm,1,,,,,,,7.74002e-07,4.95362e-07,2026-02-19
29,71,Cu,96,244,Cm,0,,,,,,,2.29001e-06,1.4656e-06,2026-02-19
29,72,Cu,96,244,Cm,0,,,,,,,2.75001e-06,1.76001e-06,2026-02-19
29,73,Cu,96,244,Cm,0,,,,,,,2.59001e-06,1.65761e-06,2026-02-19
29,74,Cu,96,244,Cm,0,,,,,,,1.31e-06,8.38403e-07,2026-02-19
29,75,Cu,96,244,Cm,0,,,,,,,6.86002e-07,4.39041e-07,2026-02-19
29,76,Cu,96,244,Cm,0,,,,,,,1.71001e-07,1.0944e-07,2026-02-19
29,77,Cu,96,244,Cm,0,,,,,,,2.28001e-08,1.4592e-08,2026-02-19
29,78,Cu,96,244,Cm,0,,,,,,,2.39001e-09,1.5296e-09,2026-02-19
29,79,Cu,96,244,Cm,0,,,,,,,1.66991e-10,1.06874e-10,2026-02-19
29,80,Cu,96,244,Cm,0,,,,,,,4.33001e-12,2.77121e-12,2026-02-19
29,81,Cu,96,244,Cm,0,,,,,,,8.53003e-14,5.45922e-14,2026-02-19
29,82,Cu,96,244,Cm,0,,,,,,,0,0,2026-02-19
30,66,Zn,96,244,Cm,0,,,,,,,2.93001e-12,1.87521e-12,2026-02-19
30,67,Zn,96,244,Cm,0,,,,,,,8.52003e-11,5.45282e-11,2026-02-19
30,68,Zn,96,244,Cm,0,,,,,,,1.59001e-09,1.0176e-09,2026-02-19
30,69,Zn,96,244,Cm,0,,,,,,,3.30001e-09,2.11201e-09,2026-02-19
30,69,Zn,96,244,Cm,1,,,,,,,1.4e-08,8.96003e-09,2026-02-19
30,70,Zn,96,244,Cm,0,,,,,,,1.65001e-07,1.056e-07,2026-02-19
30,71,Zn,96,244,Cm,0,,,,,,,1.59001e-07,1.0176e-07,2026-02-19
30,71,Zn,96,244,Cm,1,,,,,,,6.77002e-07,4.33281e-07,2026-02-19
30,72,Zn,96,244,Cm,0,,,,,,,3.25001e-06,2.08001e-06,2026-02-19
30,73,Zn,96,244,Cm,0,,,,,,,6.50002e-06,4.16001e-06,2026-02-19
30,74,Zn,96,244,Cm,0,,,,,,,1.076e-05,6.88642e-06,2026-02-19
30,75,Zn,96,244,Cm,0,,,,,,,1.303e-05,8.33923e-06,2026-02-19
30,76,Zn,96,244,Cm,0,,,,,,,1.167e-05,7.46882e-06,2026-02-19
30,77,Zn,96,244,Cm,0,,,,,,,3.98001e-06,2.54721e-06,2026-02-19
30,78,Zn,96,244,Cm,0,,,,,,,1.72001e-06,1.1008e-06,2026-02-19
30,79,Zn,96,244,Cm,0,,,,,,,3.39001e-07,2.16961e-07,2026-02-19
30,80,Zn,96,244,Cm,0,,,,,,,4.06001e-08,2.59841e-08,2026-02-19
30,81,Zn,96,244,Cm,0,,,,,,,2.47001e-09,1.58081e-09,2026-02-19
30,82,Zn,96,244,Cm,0,,,,,,,1.02e-10,6.52802e-11,2026-02-19
30,83,Zn,96,244,Cm,0,,,,,,,2.30001e-12,1.472e-12,2026-02-19
30,84,Zn,96,244,Cm,0,,,,,,,2.24001e-14,1.4336e-14,2026-02-19
30,86,Zn,96,244,Cm,0,,,,,,,0,0,2026-02-19
31,66,Ga,96,244,Cm,0,,,,,,,0,0,2026-02-19
31,67,Ga,96,244,Cm,0,,,,,,,1.09e-14,6.97602e-15,2026-02-19
31,68,Ga,96,244,Cm,0,,,,,,,5.45002e-13,3.48801e-13,2026-02-19
31,69,Ga,96,244,Cm,0,,,,,,,2.39001e-11,1.5296e-11,2026-02-19
31,70,Ga,96,244,Cm,0,,,,,,,5.90002e-10,3.77601e-10,2026-02-19
31,71,Ga,96,244,Cm,0,,,,,,,1.16e-08,7.42402e-09,2026-02-19
31,72,Ga,96,244,Cm,0,,,,,,,5.45002e-08,3.48801e-08,2026-02-19
31,72,Ga,96,244,Cm,1,,,,,,,5.45002e-08,3.48801e-08,2026-02-19
31,73,Ga,96,244,Cm,0,,,,,,,7.51002e-07,4.80642e-07,2026-02-19
31,74,Ga,96,244,Cm,0,,,,,,,1.36e-06,8.70403e-07,2026-02-19
31,74,Ga,96,244,Cm,1,,,,,,,1.36e-06,8.70403e-07,2026-02-19
31,75,Ga,96,244,Cm,0,,,,,,,1.083e-05,6.93122e-06,2026-02-19
31,76,Ga,96,244,Cm,0,,,,,,,2.06401e-05,1.32096e-05,2026-02-19
31,77,Ga,96,244,Cm,0,,,,,,,2.40101e-05,1.53664e-05,2026-02-19
31,78,Ga,96,244,Cm,0,,,,,,,2.53501e-05,1.62241e-05,2026-02-19
31,79,Ga,96,244,Cm,0,,,,,,,1.93501e-05,1.2384e-05,2026-02-19
31,80,Ga,96,244,Cm,0,,,,,,,6.62002e-06,4.23681e-06,2026-02-19
31,81,Ga,96,244,Cm,0,,,,,,,1.80001e-06,1.152e-06,2026-02-19
31,82,Ga,96,244,Cm,0,,,,,,,2.19001e-07,1.4016e-07,2026-02-19
31,83,Ga,96,244,Cm,0,,,,,,,2.16001e-08,1.3824e-08,2026-02-19
31,84,Ga,96,244,Cm,0,,,,,,,6.13002e-10,3.92321e-10,2026-02-19
31,85,Ga,96,244,Cm,0,,,,,,,3.32001e-11,2.12481e-11,2026-02-19
31,86,Ga,96,244,Cm,0,,,,,,,3.82001e-13,2.44481e-13,2026-02-19
31,87,Ga,96,244,Cm,0,,,,,,,1.64355e-14,1.05187e-14,2026-02-19
32,66,Ge,96,244,Cm,0,,,,,,,0,0,2026-02-19
32,67,Ge,96,244,Cm,0,,,,,,,0,0,2026-02-19
32,68,Ge,96,244,Cm,0,,,,,,,0,0,2026-02-19
32,69,Ge,96,244,Cm,0,,,,,,,0,0,2026-02-19
32,70,Ge,96,244,Cm,0,,,,,,,2.43001e-13,1.5552e-13,2026-02-19
32,71,Ge,96,244,Cm,0,,,,,,,6.63002e-12,4.24321e-12,2026-02-19
32,71,Ge,96,244,Cm,1,,,,,,,6.63002e-12,4.24321e-12,2026-02-19
32,72,Ge,96,244,Cm,0,,,,,,,4.93002e-10,3.15521e-10,2026-02-19
32,73,Ge,96,244,Cm,0,,,,,,,7.05002e-09,4.51201e-09,2026-02-19
32,73,Ge,96,244,Cm,1,,,,,,,1.65001e-09,1.056e-09,2026-02-19
32,74,Ge,96,244,Cm,0,,,,,,,1.18e-07,7.55202e-08,2026-02-19
32,75,Ge,96,244,Cm,0,,,,,,,1.48e-07,9.47203e-08,2026-02-19
32,75,Ge,96,244,Cm,1,,,,,,,9.88003e-07,6.32322e-07,2026-02-19
32,76,Ge,96,244,Cm,0,,,,,,,7.34002e-06,4.69761e-06,2026-02-19
32,77,Ge,96,244,Cm,0,,,,,,,1.64101e-05,1.05024e-05,2026-02-19
32,77,Ge,96,244,Cm,1,,,,,,,2.45001e-06,1.56801e-06,2026-02-19
32,78,Ge,96,244,Cm,0,,,,,,,6.70502e-05,4.29121e-05,2026-02-19
32,79,Ge,96,244,Cm,0,,,,,,,5.80202e-05,3.71329e-05,2026-02-19
32,79,Ge,96,244,Cm,1,,,,,,,5.80202e-05,3.71329e-05,2026-02-19
32,80,Ge,96,244,Cm,0,,,,,,,0.00015047,9.63011e-05,2026-02-19
32,81,Ge,96,244,Cm,0,,,,,,,0.00010911,6.98306e-05,2026-02-19
32,82,Ge,96,244,Cm,0,,,,,,,5.46402e-05,3.49697e-05,2026-02-19
32,83,Ge,96,244,Cm,0,,,,,,,1.477e-05,9.45283e-06,2026-02-19
32,84,Ge,96,244,Cm,0,,,,,,,1.79001e-06,1.1456e-06,2026-02-19
32,85,Ge,96,244,Cm,0,,,,,,,2.69001e-07,1.72161e-07,2026-02-19
32,86,Ge,96,244,Cm,0,,,,,,,1.32e-08,8.44803e-09,2026-02-19
32,87,Ge,96,244,Cm,0,,,,,,,6.47986e-10,4.14711e-10,2026-02-19
32,88,Ge,96,244,Cm,0,,,,,,,1.48e-11,9.47203e-12,2026-02-19
32,89,Ge,96,244,Cm,0,,,,,,,3.91404e-13,2.50499e-13,2026-02-19
32,90,Ge,96,244,Cm,0,,,,,,,4.94996e-14,3.16797e-14,2026-02-19
33,69,As,96,244,Cm,0,,,,,,,0,0,2026-02-19
33,71,As,96,244,Cm,0,,,,,,,0,0,2026-02-19
33,72,As,96,244,Cm,0,,,,,,,3.84001e-14,2.45761e-14,2026-02-19
33,73,As,96,244,Cm,0,,,,,,,2.77001e-12,1.77281e-12,2026-02-19
33,74,As,96,244,Cm,0,,,,,,,2.99001e-11,1.91361e-11,2026-02-19
33,74,As,96,244,Cm,1,,,,,,,6.98002e-11,4.46721e-11,2026-02-19
33,75,As,96,244,Cm,0,,,,,,,3.91001e-09,2.50241e-09,2026-02-19
33,76,As,96,244,Cm,0,,,,,,,6.39002e-08,4.08961e-08,2026-02-19
33,77,As,96,244,Cm,0,,,,,,,6.20002e-07,3.96801e-07,2026-02-19
33,78,As,96,244,Cm,0,,,,,,,5.37002e-06,3.43681e-06,2026-02-19
33,79,As,96,244,Cm,0,,,,,,,3.25001e-05,2.08001e-05,2026-02-19
33,80,As,96,244,Cm,0,,,,,,,9.91403e-05,6.34498e-05,2026-02-19
33,81,As,96,244,Cm,0,,,,,,,0.000256261,0.000164007,2026-02-19
33,82,As,96,244,Cm,0,,,,,,,0.00015319,9.80419e-05,2026-02-19
33,82,As,96,244,Cm,1,,,,,,,0.00015319,9.80419e-05,2026-02-19
33,83,As,96,244,Cm,0,,,,,,,0.000307391,0.00019673,2026-02-19
33,84,As,96,244,Cm,0,,,,,,,4.81602e-05,3.08225e-05,2026-02-19
33,84,As,96,244,Cm,1,,,,,,,4.81602e-05,3.08225e-05,2026-02-19
33,85,As,96,244,Cm,0,,,,,,,5.73802e-05,3.67233e-05,2026-02-19
33,86,As,96,244,Cm,0,,,,,,,7.59002e-06,4.85762e-06,2026-02-19
33,87,As,96,244,Cm,0,,,,,,,1.55e-06,9.92003e-07,2026-02-19
33,88,As,96,244,Cm,0,,,,,,,9.93003e-08,6.35522e-08,2026-02-19
33,89,As,96,244,Cm,0,,,,,,,7.14963e-09,4.57576e-09,2026-02-19
33,90,As,96,244,Cm,0,,,,,,,6.69182e-10,4.28277e-10,2026-02-19
33,91,As,96,244,Cm,0,,,,,,,1.89972e-12,1.21582e-12,2026-02-19
33,92,As,96,244,Cm,0,,,,,,,6.47613e-14,4.14472e-14,2026-02-19
34,72,Se,96,244,Cm,0,,,,,,,0,0,2026-02-19
34,73,Se,96,244,Cm,0,,,,,,,0,0,2026-02-19
34,73,Se,96,244,Cm,1,,,,,,,0,0,2026-02-19
34,74,Se,96,244,Cm,0,,,,,,,0,0,2026-02-19
34,75,Se,96,244,Cm,0,,,,,,,1.02e-12,6.52802e-13,2026-02-19
34,76,Se,96,244,Cm,0,,,,,,,6.76002e-11,4.32641e-11,2026-02-19
34,77,Se,96,244,Cm,0,,,,,,,4.64001e-10,2.96961e-10,2026-02-19
34,77,Se,96,244,Cm,1,,,,,,,3.11001e-09,1.99041e-09,2026-02-19
34,78,Se,96,244,Cm,0,,,,,,,6.40002e-08,4.09601e-08,2026-02-19
34,79,Se,96,244,Cm,0,,,,,,,8.87003e-07,5.67682e-07,2026-02-19
34,79,Se,96,244,Cm,1,,,,,,,1.33e-07,8.51203e-08,2026-02-19
34,80,Se,96,244,Cm,0,,,,,,,1.244e-05,7.96163e-06,2026-02-19
34,81,Se,96,244,Cm,0,,,,,,,1.042e-05,6.66882e-06,2026-02-19
34,81,Se,96,244,Cm,1,,,,,,,6.97302e-05,4.46273e-05,2026-02-19
34,82,Se,96,244,Cm,0,,,,,,,0.000335821,0.000214925,2026-02-19
34,83,Se,96,244,Cm,0,,,,,,,0.000607772,0.000388974,2026-02-19
34,83,Se,96,244,Cm,1,,,,,,,0.00014256,9.12387e-05,2026-02-19
34,84,Se,96,244,Cm,0,,,,,,,0.000809773,0.000518254,2026-02-19
34,85,Se,96,244,Cm,0,,,,,,,0.000560192,0.000358523,2026-02-19
34,85,Se,96,244,Cm,1,,,,,,,0.000560192,0.000358523,2026-02-19
34,86,Se,96,244,Cm,0,,,,,,,0.000548382,0.000350964,2026-02-19
34,87,Se,96,244,Cm,0,,,,,,,0.000287881,0.000184244,2026-02-19
34,88,Se,96,244,Cm,0,,,,,,,7.38802e-05,4.72834e-05,2026-02-19
34,89,Se,96,244,Cm,0,,,,,,,1.45e-05,9.28003e-06,2026-02-19
34,90,Se,96,244,Cm,0,,,,,,,1.50934e-06,9.65975e-07,2026-02-19
34,91,Se,96,244,Cm,0,,,,,,,7.48983e-08,4.79349e-08,2026-02-19
34,92,Se,96,244,Cm,0,,,,,,,3.44995e-09,2.20797e-09,2026-02-19
34,93,Se,96,244,Cm,0,,,,,,,2.64951e-11,1.69568e-11,2026-02-19
34,94,Se,96,244,Cm,0,,,,,,,1e-12,6.40002e-13,2026-02-19
34,95,Se,96,244,Cm,0,,,,,,,1.28154e-13,8.20188e-14,2026-02-19
34,96,Se,96,244,Cm,0,,,,,,,0,0,2026-02-19
35,75,Br,96,244,Cm,0,,,,,,,0,0,2026-02-19
35,77,Br,96,244,Cm,0,,,,,,,6.11002e-14,3.91041e-14,2026-02-19
35,77,Br,96,244,Cm,1,,,,,,,2.04001e-13,1.3056e-13,2026-02-19
35,78,Br,96,244,Cm,0,,,,,,,1.37e-11,8.76803e-12,2026-02-19
35,79,Br,96,244,Cm,0,,,,,,,2.16001e-10,1.3824e-10,2026-02-19
35,79,Br,96,244,Cm,1,,,,,,,7.23002e-10,4.62721e-10,2026-02-19
35,80,Br,96,244,Cm,0,,,,,,,8.45003e-09,5.40802e-09,2026-02-19
35,80,Br,96,244,Cm,1,,,,,,,2.54001e-08,1.62561e-08,2026-02-19
35,81,Br,96,244,Cm,0,,,,,,,9.37003e-07,5.99682e-07,2026-02-19
35,82,Br,96,244,Cm,0,,,,,,,7.23002e-06,4.62721e-06,2026-02-19
35,82,Br,96,244,Cm,1,,,,,,,3.10001e-06,1.98401e-06,2026-02-19
35,83,Br,96,244,Cm,0,,,,,,,8.44303e-05,5.40354e-05,2026-02-19
35,84,Br,96,244,Cm,0,,,,,,,7.54402e-05,4.82818e-05,2026-02-19
35,84,Br,96,244,Cm,1,,,,,,,0.00013412,8.58371e-05,2026-02-19
35,85,Br,96,244,Cm,0,,,,,,,0.000954653,0.000610978,2026-02-19
35,86,Br,96,244,Cm,0,,,,,,,0.000510352,0.000326625,2026-02-19
35,86,Br,96,244,Cm,1,,,,,,,0.000510352,0.000326625,2026-02-19
35,87,Br,96,244,Cm,0,,,,,,,0.00183132,0.00117204,2026-02-19
35,88,Br,96,244,Cm,0,,,,,,,0.00111655,0.000714594,2026-02-19
35,89,Br,96,244,Cm,0,,,,,,,0.000828763,0.000530408,2026-02-19
35,90,Br,96,244,Cm,0,,,,,,,0.000224251,0.00014352,2026-02-19
35,91,Br,96,244,Cm,0,,,,,,,4.53601e-05,2.90305e-05,2026-02-19
35,92,Br,96,244,Cm,0,,,,,,,5.74002e-06,3.67361e-06,2026-02-19
35,93,Br,96,244,Cm,0,,,,,,,4.83975e-07,3.09744e-07,2026-02-19
35,94,Br,96,244,Cm,0,,,,,,,2.00001e-08,1.28e-08,2026-02-19
35,95,Br,96,244,Cm,0,,,,,,,2.34095e-09,1.49821e-09,2026-02-19
35,96,Br,96,244,Cm,0,,,,,,,1.51e-11,9.66403e-12,2026-02-19
35,97,Br,96,244,Cm,0,,,,,,,3.55088e-13,2.27257e-13,2026-02-19
36,77,Kr,96,244,Cm,0,,,,,,,0,0,2026-02-19
36,78,Kr,96,244,Cm,0,,,,,,,0,0,2026-02-19
36,79,Kr,96,244,Cm,0,,,,,,,3.11001e-14,1.99041e-14,2026-02-19
36,79,Kr,96,244,Cm,1,,,,,,,3.11001e-14,1.99041e-14,2026-02-19
36,80,Kr,96,244,Cm,0,,,,,,,1.05e-11,6.72002e-12,2026-02-19
36,81,Kr,96,244,Cm,0,,,,,,,7.70002e-10,4.92802e-10,2026-02-19
36,81,Kr,96,244,Cm,1,,,,,,,1.15e-10,7.36002e-11,2026-02-19
36,82,Kr,96,244,Cm,0,,,,,,,4.26001e-08,2.72641e-08,2026-02-19
36,83,Kr,96,244,Cm,0,,,,,,,7.66002e-07,4.90242e-07,2026-02-19
