source,desired_lower_keV,gain_keV_per_ch,first_nonzero_ch,first_nonzero_energy,first_gt50_ch,first_gt50_energy,first_gt500_ch,first_gt500_energy,ch0_energy,ch0_counts,ch1_energy,ch1_counts,ch2_energy,ch2_counts,ch3_energy,ch3_counts,ch4_energy,ch4_counts,ch5_energy,ch5_counts,ch6_energy,ch6_counts,ch7_energy,ch7_counts,ch8_energy,ch8_counts,ch9_energy,ch9_counts,ch10_energy,ch10_counts,ch11_energy,ch11_counts,ch12_energy,ch12_counts,ch13_energy,ch13_counts,ch14_energy,ch14_counts,ch15_energy,ch15_counts,ch16_energy,ch16_counts,ch17_energy,ch17_counts,ch18_energy,ch18_counts,ch19_energy,ch19_counts,ch20_energy,ch20_counts,ch21_energy,ch21_counts,ch22_energy,ch22_counts,ch23_energy,ch23_counts,ch24_energy,ch24_counts,ch25_energy,ch25_counts
Tl201wTl202_Unsh,28,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,10,17.58,1277,20.51,1488,23.44,1542,26.37,1658,29.30,2106,32.23,3209,35.16,6512,38.09,11174,41.02,11184,43.95,6928,46.88,5497,49.80,7218,52.73,9369,55.66,12486,58.59,20467,61.52,42256,64.45,80122,67.38,112205,70.31,108918,73.24,77572
Rb86_Sh,34,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,16,17.58,2262,20.51,2709,23.44,2654,26.37,2633,29.30,2668,32.23,2600,35.16,2636,38.09,2675,41.02,2900,43.95,3123,46.88,3389,49.80,3715,52.73,3926,55.66,4262,58.59,4613,61.52,4909,64.45,5156,67.38,5442,70.31,5682,73.24,5835
Y88_Sh,40,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,22,17.58,2421,20.51,2725,23.44,2805,26.37,2740,29.30,2841,32.23,2825,35.16,2900,38.09,2908,41.02,2926,43.95,3332,46.88,3519,49.80,3824,52.73,4081,55.66,4440,58.59,4736,61.52,5120,64.45,5223,67.38,5682,70.31,5840,73.24,6095
Tl204_Unsh,28,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,14,17.58,1370,20.51,1469,23.44,1585,26.37,1566,29.30,1676,32.23,2389,35.16,4375,38.09,7029,41.02,7606,43.95,6182,46.88,6264,49.80,8063,52.73,10464,55.66,13065,58.59,19038,61.52,31962,64.45,54547,67.38,72826,70.31,71213,73.24,56006
At211_Unsh,33,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,8,17.58,1238,20.51,1394,23.44,1408,26.37,1479,29.30,1461,32.23,1470,35.16,1530,38.09,2101,41.02,3830,43.95,7607,46.88,10783,49.80,10568,52.73,8739,55.66,9248,58.59,11754,61.52,13783,64.45,17651,67.38,30238,70.31,58857,73.24,98485
Co56_Sh,39,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,33,17.58,2449,20.51,2641,23.44,2694,26.37,2652,29.30,2696,32.23,2816,35.16,2773,38.09,2795,41.02,3019,43.95,3138,46.88,3431,49.80,3761,52.73,4004,55.66,4430,58.59,4534,61.52,5001,64.45,5050,67.38,5626,70.31,5791,73.24,6037
Xe133_Unsh,19,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,6,17.58,1326,20.51,1618,23.44,5550,26.37,40349,29.30,90320,32.23,56718,35.16,21320,38.09,5707,41.02,2268,43.95,3640,46.88,7041,49.80,10032,52.73,9277,55.66,7823,58.59,7961,61.52,9361,64.45,10771,67.38,14999,70.31,27687,73.24,55350
Mo99_Unsh,30,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,15,17.58,2013,20.51,1877,23.44,1520,26.37,1487,29.30,1441,32.23,1660,35.16,2345,38.09,3319,41.02,3278,43.95,2762,46.88,2681,49.80,2765,52.73,3019,55.66,3499,58.59,3941,61.52,4361,64.45,4534,67.38,4795,70.31,5100,73.24,5232
Au198_Unsh,34,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,27,17.58,2870,20.51,3196,23.44,3166,26.37,3209,29.30,3298,32.23,3224,35.16,3408,38.09,3582,41.02,3778,43.95,3717,46.88,3927,49.80,4254,52.73,4572,55.66,4961,58.59,5355,61.52,6179,64.45,7563,67.38,8658,70.31,8835,73.24,8085
Cd109_Sh,40,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,13,17.58,1187,20.51,1312,23.44,1309,26.37,1377,29.30,1392,32.23,1421,35.16,1445,38.09,1480,41.02,1673,43.95,2132,46.88,2838,49.80,4386,52.73,7305,55.66,11121,58.59,12832,61.52,13298,64.45,13735,67.38,15097,70.31,18560,73.24,25527
Yb169_Phantom,25,2.9296875,1,2.93,5,14.65,6,17.58,0.00,0,2.93,1,5.86,2,8.79,3,11.72,4,14.65,243,17.58,50008,20.51,78530,23.44,60566,26.37,81121,29.30,151331,32.23,248279,35.16,363360,38.09,487820,41.02,627003,43.95,790626,46.88,930211,49.80,864930,52.73,641646,55.66,494503,58.59,425632,61.52,346614,64.45,247776,67.38,169707,70.31,137307,73.24,131973
In111_Phantom,16,2.9296875,4,11.72,5,14.65,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,2,14.65,76,17.58,9085,20.51,17373,23.44,18591,26.37,12776,29.30,8911,32.23,9422,35.16,11152,38.09,13657,41.02,17516,43.95,22325,46.88,27763,49.80,33920,52.73,39866,55.66,45723,58.59,51720,61.52,55486,64.45,60656,67.38,64555,70.31,69037,73.24,72152
I123_Sh,19,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,9,17.58,1399,20.51,1526,23.44,1648,26.37,1625,29.30,1598,32.23,1613,35.16,1659,38.09,1787,41.02,2028,43.95,2269,46.88,2628,49.80,3057,52.73,3305,55.66,3669,58.59,3974,61.52,4277,64.45,4730,67.38,5062,70.31,5566,73.24,6038
Ho166m_Unsh,34,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,34,17.58,4580,20.51,4613,23.44,3350,26.37,3089,29.30,2711,32.23,2464,35.16,2745,38.09,3465,41.02,6340,43.95,13332,46.88,19698,49.80,17236,52.73,11822,55.66,8525,58.59,6611,61.52,5634,64.45,5367,67.38,5907,70.31,6861,73.24,8812
I131_Sh,34,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,18,17.58,2426,20.51,2722,23.44,2653,26.37,2683,29.30,2663,32.23,2630,35.16,2669,38.09,2743,41.02,2707,43.95,2911,46.88,3248,49.80,3398,52.73,3660,55.66,3957,58.59,4341,61.52,4563,64.45,4770,67.38,5053,70.31,5245,73.24,5692
Kr85_Sh,20,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,16,17.58,579,20.51,655,23.44,722,26.37,690,29.30,725,32.23,702,35.16,795,38.09,890,41.02,930,43.95,1124,46.88,1212,49.80,1461,52.73,1583,55.66,1850,58.59,2007,61.52,2159,64.45,2310,67.38,2454,70.31,2736,73.24,2887
Eu154_Sh,20,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,18,17.58,2455,20.51,2657,23.44,2661,26.37,2820,29.30,2794,32.23,2814,35.16,2747,38.09,2935,41.02,2971,43.95,3247,46.88,3389,49.80,3585,52.73,3960,55.66,4290,58.59,4594,61.52,5041,64.45,5348,67.38,5451,70.31,5770,73.24,6070
F18_Unsh,30,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,28,17.58,2765,20.51,3235,23.44,3152,26.37,3237,29.30,3231,32.23,3243,35.16,3267,38.09,3346,41.02,3495,43.95,3595,46.88,3947,49.80,4228,52.73,4481,55.66,4763,58.59,5102,61.52,5348,64.45,5530,67.38,5785,70.31,5875,73.24,6185
Cs137_Unsh,20.5,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,19,17.58,2432,20.51,2787,23.44,2992,26.37,5325,29.30,12669,32.23,12849,35.16,7102,38.09,4385,41.02,3357,43.95,3390,46.88,3512,49.80,3824,52.73,4090,55.66,4415,58.59,4753,61.52,4895,64.45,5198,67.38,5564,70.31,5802,73.24,6042
Tc99m_Sh,30,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,12,17.58,1086,20.51,1212,23.44,1233,26.37,1289,29.30,1260,32.23,1344,35.16,1427,38.09,1690,41.02,1876,43.95,2252,46.88,2312,49.80,2683,52.73,3024,55.66,3547,58.59,4200,61.52,4570,64.45,5201,67.38,5923,70.31,6510,73.24,7127
Lu177m_Unsh,16,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,20,17.58,2806,20.51,5770,23.44,10791,26.37,10675,29.30,5585,32.23,4346,35.16,3781,38.09,3242,41.02,4490,43.95,8188,46.88,18312,49.80,42707,52.73,67272,55.66,63063,58.59,40247,61.52,26078,64.45,17837,67.38,10717,70.31,6836,73.24,5946
La140_Unsh,26,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,20,17.58,2306,20.51,2694,23.44,2689,26.37,2789,29.30,3819,32.23,5566,35.16,5306,38.09,4091,41.02,3422,43.95,3402,46.88,3476,49.80,3791,52.73,4071,55.66,4290,58.59,4613,61.52,5028,64.45,5211,67.38,5547,70.31,5682,73.24,5968
Tl201wTl202_Phantom,20,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,10,17.58,1418,20.51,1625,23.44,1801,26.37,2473,29.30,4173,32.23,7514,35.16,12666,38.09,20332,41.02,26614,43.95,31962,46.88,38086,49.80,43772,52.73,48024,55.66,50998,58.59,53497,61.52,56904,64.45,61948,67.38,63195,70.31,53934,73.24,38538
Yb169_Sh,20,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,16,17.58,1622,20.51,1906,23.44,1933,26.37,1951,29.30,1827,32.23,1828,35.16,1841,38.09,1850,41.02,2061,43.95,2285,46.88,2580,49.80,2917,52.73,3277,55.66,3604,58.59,4016,61.52,4471,64.45,5011,67.38,5363,70.31,5628,73.24,6120
